ReviewVenue,PublicationVenue,Title,delete,Authors,AuthorPDF,Abstract,ExplanationPage,SourceMaterials,Data,Preregistered,Video,DOI,PublicationYear,ConferenceYear,ConferenceTrack,ConferenceRoom,ConferenceDay,ConferenceSession,date,ConferenceTimeStart,ConferenceTimeEnd
VAST,TVCG,TPFlow: Progressive Partition and Multidimensional Pattern Extraction for Large-Scale Spatio-Temporal Data Analysis,J),"Dongyu Liu, Panpan Xu, Liu Ren",https://lliquid.github.io/homepage/files/draft_vis18_st.pdf,"Consider a multi-dimensional spatio-temporal (ST) dataset where each entry is a numerical measure defined by the corresponding temporal, spatial and other domain-specific dimensions. A typical approach to explore such data utilizes interactive visualizations with multiple coordinated views. Each view displays the aggregated measures along one or two dimensions. By brushing on the views, analysts can obtain detailed information. However, this approach often cannot provide sufficient guidance for analysts to identify patterns hidden within subsets of data. Without a priori hypotheses, analysts need to manually select and iterate through different slices to search for patterns, which can be a tedious and lengthy process. In this work, we model multidimensional ST data as tensors and propose a novel piecewise rank-one tensor decomposition algorithm which supports automatically slicing the data into homogeneous partitions and extracting the latent patterns in each partition for comparison and visual summarization. The algorithm optimizes a quantitative measure about how faithfully the extracted patterns visually represent the original data. Based on the algorithm we further propose a visual analytics framework that supports a top-down, progressive partitioning workflow for level-of-detail multidimensional ST data exploration. We demonstrate the general applicability and effectiveness of our technique on three datasets from different application domains: regional sales trend analysis, customer traffic analysis in department stores, and taxi trip analysis with origin-destination (OD) data. We further interview domain experts to verify the usability of the prototype.",,,,,video https://lliquid.github.io/homepage/files/video_vast18_tpflow_1920x1080_v7.mp4,10.1109/tvcg.2018.2865018,2018,2018,Other,"Convention Hall 1, Section C+D",Tuesday,VIS Awards & Best Papers,23-Oct,10:00 AM,10:20 AM
InfoVis,TVCG,Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco,J),"Dominik Moritz, Chenglong Wang, Greg L. Nelson, Halden Lin, Adam M. Smith, Bill Howe, Jeffrey Heer",https://osf.io/3eg9c/,"There exists a gap between visualization design guidelines and their application in visualization tools. While empirical studies can provide design guidance, we lack a formal framework for representing design knowledge, integrating results across studies, and applying this knowledge in automated design tools that promote effective encodings and facilitate visual exploration. We propose modeling visualization design knowledge as a collection of constraints, in conjunction with a method to learn weights for soft constraints from experimental data. Using constraints, we can take theoretical design knowledge and express it in a concrete, extensible, and testable form: the resulting models can recommend visualization designs and can easily be augmented with additional constraints or updated weights. We implement our approach in Draco, a constraint-based system based on Answer Set Programming (ASP). We demonstrate how to construct increasingly sophisticated automated visualization design systems, including systems based on weights learned directly from the results of graphical perception experiments.",https://medium.com/@uwdata/draco-representing-applying-learning-visualization-design-guidelines-64ce20287e9d,https://uwdata.github.io/draco/,,,vimeo 289784521,10.1109/tvcg.2018.2865240,2018,2018,Other,"Convention Hall 1, Section C+D",Tuesday,VIS Awards & Best Papers,23-Oct,10:20 AM,10:40 AM
SciVis,TVCG,Deadeye: A Novel Preattentive Visualization Technique Based on Dichoptic Presentation,J),"Andrey Krekhov, Jens Krueger",,,,,,,vimeo 290325240,10.1109/tvcg.2018.2864498,2018,2018,Other,"Convention Hall 1, Section C+D",Tuesday,VIS Awards & Best Papers,23-Oct,10:40 AM,11:00 AM
VAST,TVCG,Evaluating Multi-Dimensional Visualizations for Understanding Fuzzy Clusters,J),"Ying Zhao, Feng Luo, Minghui Chen, Yingchao Wang, Jiazhi Xia, Fangfang Zhou, Yunhai Wang, Yi Chen, Wei Chen",http://www.cad.zju.edu.cn/home/vagblog/VAG_Work/Fuzzy%20Clusters.pdf,"Fuzzy clustering assigns a probability of membership for a datum to a cluster, which veritably reflects real-world clustering scenarios but significantly increases the complexity of understanding fuzzy clusters. Many studies have demonstrated that visualization techniques for multi-dimensional data are beneficial to understand fuzzy clusters. However, no empirical evidence exists on the effectiveness and efficiency of these visualization techniques in solving analytical tasks featured by fuzzy clusters. In this paper, we conduct a controlled experiment to evaluate the ability of fuzzy clusters analysis to use four multi-dimensional visualization techniques, namely, parallel coordinate plot, scatterplot matrix, principal component analysis, and Radviz. First, we define the analytical tasks and their representative questions specific to fuzzy clusters analysis. Then, we design objective questionnaires to compare the accuracy, time, and satisfaction in using the four techniques to solve the questions. We also design subjective questionnaires to collect the experience of the volunteers with the four techniques in terms of ease of use, informativeness, and helpfulness. With a complete experiment process and a detailed result analysis, we test against four hypotheses that are formulated on the basis of our experience, and provide instructive guidance for analysts in selecting appropriate and efficient visualization techniques to analyze fuzzy clusters.",,,,,vimeo 289787891,10.1109/tvcg.2018.2865020,2018,2018,VAST,"Convention Hall 1, Section C",Tuesday,Evaluation and Theory,23-Oct,2:20 PM,2:40 PM
VAST,VAST,The Effect of Proximity in Social Data Charts on Perceived Unity,C),"Marlen Promann, Sabine Brunswicker",,,,,,,vimeo 289787716,,2018,2018,VAST,"Convention Hall 1, Section C",Tuesday,Evaluation and Theory,23-Oct,2:40 PM,3:00 PM
VAST,TVCG,Futzing and Moseying: Interviews with Professional Data Analysts on Exploration Practices,J),"Sara Alspaugh, Nava Zokaei, Andrea Liu, Cindy Jin, Marti Hearst",http://people.ischool.berkeley.edu/~hearst/papers/vast2018.pdf,"We report the results of interviewing thirty professional data analysts working in a range of industrial, academic, and regulatory environments. This study focuses on participants' descriptions of exploratory activities and tool usage in these activities. Highlights of the ndings include: distinctions between exploration as a precursor to more directed analysis versus truly open-ended exploration; conrmation that some analysts see ""finding something interesting"" as a valid goal of data exploration while others explicitly disavow this goal; conicting views about the role of intelligent tools in data exploration; and pervasive use of visualization for exploration, but with only a subset using direct manipulation interfaces. These findings provide guidelines for future tool development, as well as a better understanding of the meaning of the term ""data exploration"" based on the words of practitioners ""in the wild.""",,,,,vimeo 289787961,10.1109/TVCG.2018.2865040,2018,2018,VAST,"Convention Hall 1, Section C",Tuesday,Evaluation and Theory,23-Oct,3:00 PM,3:20 PM
VAST,VAST,The Effect of Semantic Interaction on Foraging in Text Analysis,C),"John Wenskovitch, Lauren Bradel, Michelle Dowling, Leanna House, Chris North",https://infovis.cs.vt.edu/sites/default/files/effect-semantic-interaction.pdf,"Completing text analysis tasks is a continuous sensemaking loop of foraging for information and incrementally synthesizing it into hypotheses. Past research has shown the advantages of using spatial workspaces as a means for synthesizing information through externalizing hypotheses and creating spatial schemas. However, spatializing the entirety of datasets becomes prohibitive as the number of documents available to the analysts grows, particularly when only a small subset are relevant to the task at hand. StarSPIRE is a visual analytics tool designed to explore collections of documents, leveraging users’ semantic interactions to steer (1) a synthesis model that aids in document layout, and (2) a foraging model to automatically retrieve new relevant information. In contrast to traditional keyword search foraging (KSF), “semantic interaction foraging” (SIF) occurs as a result of the user’s synthesis actions. To quantify the value of semantic interaction foraging, we use StarSPIRE to evaluate its utility for an intelligence analysis sensemaking task. Semantic interaction foraging accounted for 26% of useful documents found, and it also resulted in increased synthesis interactions and improved sensemaking task performance by users in comparison to only using keyword search.",,,,,vimeo 289787752,,2018,2018,VAST,"Convention Hall 1, Section C",Tuesday,Evaluation and Theory,23-Oct,3:20 PM,3:40 PM
VAST,TVCG,An Information-Theoretic Approach to the Cost-benefit Analysis of Visualization in Virtual Environments,J),"Min Chen, Kelly Gaither, Nigel John, Brian McCann",,,,,,,vimeo 289787910,10.1109/TVCG.2018.2865025,2018,2018,VAST,"Convention Hall 1, Section C",Tuesday,Evaluation and Theory,23-Oct,3:40 PM,4:00 PM
InfoVis,TVCG,Shape-preserving Star Coordinates,J),"Vladimir Molchanov, Lars Linsen",,,,,,,vimeo 289785145,10.1109/tvcg.2018.2865118,2018,2018,InfoVis,"Convention Hall 1, Section D",Tuesday,Multiple Dimensions,23-Oct,2:20 PM,2:40 PM
TVCG,TVCG,Using Dashboard Networks to Visualize Multiple Patient Histories: A Design Study on Post-operative Prostate Cancer,T),"Jürgen Bernard, David Sessler, Jörn Kohlhammer, Roy A. Ruddle",http://eprints.whiterose.ac.uk/128739/1/bernard-ieee-tvcg-dashboard-networks.pdf,"In this design study, we present a visualization technique that segments patients' histories instead of treating them as raw event sequences, aggregates the segments using criteria such as the whole history or treatment combinations, and then visualizes the aggregated segments as static dashboards that are arranged in a dashboard network to show longitudinal changes. The static dashboards were developed in nine iterations, to show 15 important attributes from the patients' histories. The final design was evaluated with five non-experts, five visualization experts and four medical experts, who successfully used it to gain an overview of a 2,000 patient dataset, and to make observations about longitudinal changes and differences between two cohorts. The research represents a step-change in the detail of large-scale data that may be successfully visualized using dashboards, and provides guidance about how the approach may be generalized.",,,,,vimeo 289789053,10.1109/tvcg.2018.2803829,2018,2018,InfoVis,"Convention Hall 1, Section D",Tuesday,Multiple Dimensions,23-Oct,2:40 PM,3:00 PM
