ReviewVenue,PublicationVenue,Title,delete,Authors,AuthorPDF,Abstract,ExplanationPage,SourceMaterials,Data,Preregistered,Video,DOI,PublicationYear,ConferenceYear,ConferenceTrack,ConferenceRoom,ConferenceDay,ConferenceSession,date,ConferenceTimeStart,ConferenceTimeEnd
Beliv,Beliv,Towards Designing Unbiased Replication Studies in Information Visualization,,"Poorna Talkad Sukumar, Ronald Metoyer",https://osf.io/q38pg,"Experimenter bias and expectancy effects have been well studied in the social sciences and even in human-computer interaction. They refer to the nonideal study-design choices made by experimenters which can unfairly influence the outcomes of their studies. While these biases need to be considered when designing any empirical study, they can be particularly significant in the context of replication studies which can stray from the studies being replicated in only a few admissible ways. Although there are general guidelines for making valid, unbiased choices in each of the several steps in experimental design, making such choices when conducting replication studies has not been well explored. We reviewed 16 replication studies in information visualization published in four top venues between 2008 to present to characterize how the study designs of the replication studies differed from those of the studies they replicated. We present our characterization categories which include the prevalence of crowdsourcing, and the commonly-found replication types and study-design differences. We draw guidelines based on these categories towards helping researchers make meaningful and unbiased decisions when designing replication studies. Our paper presents the first steps in gaining a larger understanding of this topic and contributes to the ongoing efforts of encouraging researchers to conduct and publish more replication studies in information visualization.",,,,,,not yet submitted to crossref,2018,2018,Beliv,"Hall 1, Section C",Sunday,Mini-tutorials,21-Oct,10:00 AM,10:20 AM
Beliv,Beliv,Skipping the Replication Crisis in Visualization: Threats to Study Validity and How to Address Them,,"Robert Kosara, Steve Haroz",https://osf.io/f8qey,"Replications are rare in visualization research, but if they were more common, it is not unreasonable to believe that they would show a similar rate of unreproducible results as in the psychological and social sciences. While a replication crisis in visualization research would be a helpful wake-up call, examining and correcting the underlying problems in many studies is ultimately more productive. In this paper, we survey the state of replication in visualization research. We examine six threats to the validity of studies in visualization and suggest ways to address them. Finally, we describe possible models for publishing replications that satisfy the novelty criterion that can keep replications from being accepted.",,,,,,not yet submitted to crossref,2018,2018,Beliv,"Hall 1, Section C",Sunday,Mini-tutorials,21-Oct,10:20 AM,10:40 AM
Beliv,Beliv,Open Practices in Visualization Research,,Steve Haroz,https://osf.io/8ag3w,"Two fundamental tenants of scientific research are that it can be scrutinized and built-upon. Both require that the collected data and supporting materials be shared, so others can examine, reuse, and extend them. Assessing the accessibility of these components and the paper itself can serve as a proxy for the reliability, replicability, and applicability of a field’s research. In this paper, I describe the current state of openness in visualization research and provide suggestions for authors, reviewers, and editors to improve open practices in the field.  A free copy of this paper, the collected data, and the source code are available at https://osf.io/qf9na/",,https://osf.io/qf9na/,https://osf.io/d96af/,,,not yet submitted to crossref,2018,2018,Beliv,"Hall 1, Section C",Sunday,Panel - A Roadmap For Replication in Visualization,21-Oct,11:00 AM,11:10 AM
Beliv,Beliv,Requirements for Reproducibility of Research in Situational and Spatio-Temporal Visualization,,"André Calero Valdez, Anne Kathrin Schaar, Julian Romeo Hildebrandt, Martina Ziefle",https://www.calerovaldez.com/pdf/beliv2018.pdf,"Research on spatio-temporal visualization is driven by the development of novel visualization and data aggregation techniques. Yet, only little research is conducted on the systematic evaluation of such visualizations. Evaluation of such technology is often conducted in real-life settings and thus lacks fundamental requirements for laboratory-based replication. Replication requires other researchers to independently conduct their own experiments to verify your results. In this position paper, we discuss the requirements for replication studies of spatio-temporal visualization systems. These requirements are often impossible to achieve for highly contextual visualizations such as spatio-temporal visualizations. We argue that reproducibility—allowing other researchers to validate your findings from your data—is a better aim for highly contextual visualiza- tions. We provide a sample workflow to ensure reproducibility for spatio-temporal visualization and discuss its implications.",,,,,,not yet submitted to crossref,2018,2018,Beliv,"Hall 1, Section C",Sunday,Panel - A Roadmap For Replication in Visualization,21-Oct,11:10 AM,11:20 AM
Beliv,Beliv,Towards Characterizing Domain Experts as a User Group,,"Yuet Ling Wong, Krishna Madhavan, Niklas Elmqvist",,,,,,,,not yet submitted to crossref,2018,2018,Beliv,"Hall 1, Section C",Sunday,Papers and Breakout Groups 1,21-Oct,2:20 PM,2:25 PM
Beliv,Beliv,A Micro-Phenomenological Lens for Evaluating Narrative Visualization,,"Stanislaw Nowak, Lyn Bartram, Thecla Schiphorst",,,,,,,,not yet submitted to crossref,2018,2018,Beliv,"Hall 1, Section C",Sunday,Papers and Breakout Groups 1,21-Oct,2:25 PM,2:30 PM
Beliv,Beliv,From Taxonomy to Requirements: A Task Space Partitioning Approach,,"Mai Elshehaly, Natasha Alvarado, Lynn McVey, Rebecca Randell, Mamas Mamas, Roy Ruddle",http://www.vaqua.org/mai/papers/BELIV_2018_camera_ready.pdf,"We present a taxonomy-driven approach to requirements specification in a large-scale project setting, drawing on our work to develop visualization dashboards for improving the quality of healthcare. Our aim is to overcome some of the limitations of the qualitative methods that are typically used for requirements analysis. When applied alone, methods like interviews fall short in identifying the full set of functionalities that a visualization system should support. We present a five-stage pipeline to structure user task elicitation and analysis around well-established taxonomic dimensions, and make the following contributions: (i) criteria for selecting dimensions from the large body of task taxonomies in the literature, (ii) use of three particular dimensions (granularity, type cardinality and target) to create materials for a requirements analysis workshop with domain experts, (iii) a method for characterizing the task space that was produced by the experts in the workshop, (iv) a decision tree that partitions that space and maps it to visualization design alternatives, and (v) validating our approach by testing the decision tree against new tasks that were collected through interviews with further domain experts.",,,,,,not yet submitted to crossref,2018,2018,Beliv,"Hall 1, Section C",Sunday,Papers and Breakout Groups 1,21-Oct,2:30 PM,2:35 PM
Beliv,Beliv,How to evaluate an evaluation study? Comparing and contrasting practices in vis with those of other disciplines,,"Anamaria Crisan, Madison Elliott",https://amcrisan.github.io/assets/files/papers/beliv-2018.pdf,"Evaluative practices within vis research are not routinely compared to those of psychology, sociology, or ther areas of empirical study, leaving vis vulnerable to the replicability crisis that has embroiled scientific research more generally. In this position paper, we compare contemporary vis evaluative practices against those in those other disciplines, and make concrete recommendations as to how vis evaluative practice can be improved through the use of quantitative, qualitative, and mixed research methods. We summarize our discussion and recommendations as a checklist, that we intend to be used a resource for vis researchers conducting evaluative studies, and for reviewers evaluating the merits of such studies.",,,,,,not yet submitted to crossref,2018,2018,Beliv,"Hall 1, Section C",Sunday,Papers and Breakout Groups 1,21-Oct,2:35 PM,2:40 PM
Beliv,Beliv,The Garden of Forking Paths in Visualization: A Design Space for Reliable Exploratory Visual Analytics,,"Xiaoying Pu, Matthew Kay",http://www.mjskay.com/papers/beliv2018-forking-paths-in-vis.pdf,"Tukey emphasized decades ago that taking exploratory findings as confirmatory is “destructively foolish”. We reframe recent conversations about the reliability of results from exploratory visual analytics—such as the multiple comparisons problem—in terms of Gelman and Loken’s garden of forking paths to lay out a design space for addressing the forking paths problem in visual analytics. This design space encompasses existing approaches to address the forking paths problem (multiple comparison correction) as well as solutions that have not been applied to exploratory visual analytics (regularization). We also discuss how perceptual bias correction techniques may be used to correct biases induced in analysts’ understanding of their data due to the forking paths problem, and outline how this problem can be cast as a threat to validity within Munzner’s Nested Model of visualization design. Finally, we suggest paper review guidelines to encourage reviewers to consider the forking paths problem when evaluating future designs of visual analytics tools.",,,,,,not yet submitted to crossref,2018,2018,Beliv,"Hall 1, Section C",Sunday,Papers and Breakout Groups 1,21-Oct,2:40 PM,2:45 PM
Beliv,Beliv,Lowering the Barrier for Successful Replication and Evaluation,,"Hendrik Lücke-Tieke, Marcel Beuth, Philipp Schader, Thorsten May, Jürgen Bernard, Jörn Kohlhammer",,,,,,,,not yet submitted to crossref,2018,2018,Beliv,"Hall 1, Section C",Sunday,Papers and Breakout Groups 2,21-Oct,4:20 PM,4:25 PM
